Query,Expected,Groq Expected,Groq Reason,Predicted,Predicted_Qwen
Nawala ang HKID ko habang nagbabakasyon sa Pinas. Paano ako makakabalik sa Hong Kong?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks for action to take, which requires reasoning and consideration of legal implications for an OFW.",,General-LLM
Pwede bang pilitin ng amo na wag akong pag-off sa Linggo at bayaran na lang ang day-off ko?,General-LLM,Reasoning-LLM,"The query involves a personal work situation and asks about a potential labor dispute, which requires reasoning and analysis of labor laws.",,Reasoning-LLM
Ang amo ko ay lumipat ng bahay sa China at gusto nilang sumama ako para magtrabaho doon. Valid ba ito sa contract ko?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks about the validity of a potential action in relation to a contract, which requires analysis of legal implications and risks.",,Reasoning-LLM
"Ano ang address at hotline ng Philippine Consulate General sa United Centre, Admiralty?",General-LLM,General-LLM,"The query asks for general information about the Philippine Consulate General, which is a straightforward and factual question.",,General-LLM
"Binigyan ako ng ""one-month notice"" pero pinalayas ako agad sa bahay ngayong gabi. Saan ako pwedeng tumuloy na shelter?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation with a legal dispute and asks for advice on what action to take, specifically regarding shelter after being evicted.",,Reasoning-LLM
Nakasaad ba sa batas na dapat may sariling kwarto ang isang stay-in na helper sa Hong Kong?,General-LLM,General-LLM,"The query asks for general legal information regarding the rights of a stay-in helper in Hong Kong, specifically about the requirement of having a private room.",,General-LLM
Paano ko makukuha ang aking Long Service Payment kung 5 years na ako sa amo ko pero ayaw nila akong i-renew?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation with a labor dispute, specifically regarding the non-renewal of contract and the claim for Long Service Payment, which requires analysis and reasoning to determine the appropriate course of action.",,Reasoning-LLM
Ano ang gagawin kung ang sahod ko ay laging late ng higit sa 7 araw?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation of delayed salary and asks for a course of action, which requires reasoning and analysis of labor law.",,Reasoning-LLM
Idadagdag na ba ang Easter Monday bilang statutory holiday simula ngayong 2026?,General-LLM,General-LLM,"The query is asking for general information about a holiday being added as a statutory holiday, which is a general legal information query.",,General-LLM
"Pwede ko bang kunin ang Easter Monday (April 6, 2026) bilang paid holiday?",General-LLM,General-LLM,"The query is asking for general legal information about paid holidays, specifically whether Easter Monday is a paid holiday, without referencing a personal situation or scenario.",,General-LLM
Nag-sign ako ng contract noong October 2025. Magkano dapat ang minimum na sahod ko?,General-LLM,General-LLM,"The query asks for general legal information about minimum wage, which is a straightforward question that does not involve a personal situation or require complex reasoning.",,General-LLM
"Sabi ng amo ko, isasama na lang daw sa sahod ko yung bayad sa holiday para magtrabaho ako. Pwede ba yun?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal work situation and asks about the legality of an employer's action, which requires analysis of labor laws and potential disputes.",,Reasoning-LLM
"Natapat sa Sunday (Rest Day) ang Ching Ming Festival ngayong April 5, 2026. May substitute holiday ba ako?",General-LLM,General-LLM,"The query asks for general information about substitute holidays in the context of a specific festival, without presenting a personal situation or scenario that requires legal reasoning.",,General-LLM
"Paano kung nagkasakit ako sa mismong araw ng Statutory Holiday, mababayaran pa rin ba ako?",Reasoning-LLM,Reasoning-LLM,"The query involves a specific scenario where the OFW is inquiring about their entitlement to payment if they fall ill on a Statutory Holiday, which requires analysis of labor laws and contracts.",,Reasoning-LLM
Ano ang mangyayari kung hindi ako binigyan ng holiday pay kahit lagpas 3 months na ako sa trabaho?,Reasoning-LLM,Reasoning-LLM,"The query involves a scenario where the OFW is not given holiday pay despite being in the job for over 3 months, which requires analysis of labor law and potential legal action.",,Reasoning-LLM
Magkano ang food allowance ko kung hindi ako pinapakain ng amo ko sa bahay nila?,General-LLM,Reasoning-LLM,"The query involves a specific situation where the OFW is not being provided with food by their employer, which relates to their employment rights and potentially involves legal risk or disputes.",,General-LLM
"Nakapirma ako ng contract bago mag September 30, 2025. Makukuha ko ba yung $5,100 na sahod?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and a specific contract, and asks about the possibility of receiving a certain amount of salary, which requires analysis of the contract and potential legal implications.",,Reasoning-LLM
Pwede ko bang ipunin ang mga statutory holidays ko at gamitin lahat sa dulo ng taon?,General-LLM,General-LLM,"The query asks for general legal information regarding the accumulation and use of statutory holidays, which is a straightforward and definition-based question.",,Reasoning-LLM
Sinabihan ako ng amo ko na magtrabaho sa holiday pero wala pang 48 hours na notice. Pwede ko ba itong i-report?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and a potential labor dispute, as the user is asking about reporting their employer for not providing sufficient notice to work on a holiday.",,Reasoning-LLM
Ilang araw ang annual leave ko kung naka-apat na taon na ako sa parehong amo?,General-LLM,General-LLM,The query asks for general legal information regarding annual leave entitlement based on years of service with the same employer.,,General-LLM
Gusto ng amo ko na cash na lang ibayad ang annual leave ko imbes na bakasyon. Legal ba ito?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks about the legality of an action, specifically whether it is legal for the employer to pay cash instead of granting annual leave.",,Reasoning-LLM
Kailangan ko ba ng OEC (Overseas Employment Certificate) kung babalik ako sa HK mula sa bakasyon ngayong 2026?,General-LLM,General-LLM,The query is asking for general information about the requirement of an Overseas Employment Certificate (OEC) for an OFW returning to work in Hong Kong.,,General-LLM
"Ano ang gagawin ko kung pinirmahan ko sa contract ay $5,100 pero ang binibigay lang sa akin ay $4,990?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation with a contract dispute, which requires reasoning and analysis of the legal implications.",,Reasoning-LLM
"Kasama ba ang ""Birthday of the Buddha"" sa mga bayad na holiday para sa mga OFW?",General-LLM,General-LLM,"The query asks for general legal information regarding paid holidays for OFWs, specifically whether ""Birthday of the Buddha"" is included, without presenting a personal situation or scenario.",,General-LLM
"Sabi ng amo ko, bawal daw akong lumabas ng bahay sa day-off ko dahil sa kumakalat na balita tungkol sa bagong virus. Pwede ba yun?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and a potential legal dispute regarding the employer's restriction on the worker's movement during their day off, which requires analysis and application of labor laws.",,Reasoning-LLM
Na-diagnose ako na may breast cancer. Pwede ba akong i-terminate ng amo ko habang nagpapagamot?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks about potential termination, which poses a legal risk and dispute, requiring critical analysis and application of labor laws.",,Reasoning-LLM
Sino ang dapat magbayad ng hospital bill ko kung na-confine ako sa public hospital sa Hong Kong?,General-LLM,General-LLM,"The query is asking for general legal information regarding hospital bill payment responsibility in a public hospital in Hong Kong, without providing a personal situation or scenario.",,General-LLM
Pinatutulog ako ng amo ko sa sofa sa living room dahil wala silang extra room. Legal ba ito sa contract?,General-LLM,Reasoning-LLM,"The query involves a personal situation and asks about the legality of a specific working condition, which requires analysis of labor laws and contracts.",,Reasoning-LLM
"Binigyan ako ng amo ko ng ""Notice of Termination"" pero gusto nilang umalis ako immediately nang walang bayad. Ano ang dapat kong makuha?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation with a specific scenario of receiving a ""Notice of Termination"" and potential legal dispute regarding payment.",,Reasoning-LLM
Pwede ko bang i-terminate ang contract ko kung hindi ako pinapakain nang tama o palaging panis ang binibigay na pagkain?,Reasoning-LLM,Reasoning-LLM,"The query involves a scenario where the OFW is experiencing a problem with their living conditions, specifically with the food provided, and is asking about the possibility of terminating their contract.",,Reasoning-LLM
"Ano ang ""14-day rule"" ng Immigration pagkatapos ma-cut ang contract ko?",General-LLM,General-LLM,"The query asks for a definition or explanation of a general legal concept, specifically the ""14-day rule"" of Immigration, without providing a personal situation or scenario.",,Reasoning-LLM
"Nag-resign ako dahil sa ""physical abuse."" Kailangan ko pa ba mag-serve ng one month notice?",Reasoning-LLM,Reasoning-LLM,The query involves a personal situation of resignation due to physical abuse and asks for advice on the necessary actions to take regarding the notice period.,,Reasoning-LLM
Pwede ba akong pilitin ng amo ko na maglinis ng bahay ng anak niya sa ibang building?,General-LLM,Reasoning-LLM,"The query involves a scenario where the OFW is being asked to perform a task that may be outside their job description, which poses a legal risk and dispute.",,Reasoning-LLM
Ano ang gagawin ko kung ayaw ibigay ng amo ko ang passport ko dahil baka daw ako tumakas?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks for advice on what action to take regarding a potential labor dispute with an employer, which indicates a need for reasoning and analysis of the situation.",,Reasoning-LLM
Ilang oras ang dapat na pahinga ko sa isang araw ayon sa standard employment contract?,General-LLM,General-LLM,"The query asks for general information about the standard employment contract regarding rest hours, which is a straightforward and definition-based question without a personal scenario.",,General-LLM
Buntis ako at malapit na ang due date. May maternity leave ba ang mga OFW sa Hong Kong?,General-LLM,Reasoning-LLM,"The query involves a personal situation and asks about a specific legal entitlement, namely maternity leave, for OFWs in Hong Kong.",,General-LLM
Na-aksidente ako habang naglilinis ng bintana. Sagot ba ng insurance ng amo ang pagpapagamot ko?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks about a potential legal consequence, specifically regarding insurance coverage for a work-related accident.",,Reasoning-LLM
"Paano ko makukuha ang aking ""Long Service Payment"" kung naka-6 years na ako sa amo ko?",General-LLM,Reasoning-LLM,"The query involves a personal situation and asks for guidance on taking action to receive a specific payment, which is related to labor law and OFW concerns.",,Reasoning-LLM
"Sabi ng agency ko, kailangan ko daw magbayad ng ""placement fee"" kahit direct hire ako. Tama ba ito?",Reasoning-LLM,Reasoning-LLM,"The query involves a scenario where the OFW is being asked to pay a placement fee despite being a direct hire, which requires analysis of their situation and potential legal action.",,Reasoning-LLM
Ano ang gagawin kung namatay ang amo ko? Mapuputol ba agad ang contract ko?,Reasoning-LLM,Reasoning-LLM,"The query involves a specific scenario or situation regarding the death of an employer and its potential impact on a contract, which requires reasoning and analysis of labor law.",,Reasoning-LLM
Pwede ba akong mag-part time sa weekend sa isang restaurant habang naka-visa bilang domestic helper?,General-LLM,Reasoning-LLM,"The query involves a personal situation and asks about a potential action to take, specifically working part-time, which poses a potential legal risk or dispute related to the user's visa status as a domestic helper.",,Reasoning-LLM
Kinukuhanan ako ng video ng amo ko sa loob ng kwarto ko gamit ang CCTV. Violation ba ito ng privacy?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks about a potential violation of privacy, which is a legal risk.",,Reasoning-LLM
"Ano ang ""Certificate of Employment"" at bakit kailangan ko ito pag-alis sa amo?",General-LLM,General-LLM,"The query asks for a definition and explanation of a ""Certificate of Employment"" which is a general legal information related to labor law.",,General-LLM
Pinagbabayad ako ng amo ko para sa repair ng sirang aircon na ginagamit ko sa kwarto. Pwede ba yun?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks about the legitimacy of an action taken by the employer, indicating a potential legal dispute or issue related to labor law.",,Reasoning-LLM
"My passport is expiring in 5 months, can I still renew my contract with my current employer?",General-LLM,Reasoning-LLM,"The query involves a scenario where the OFW's passport is expiring and they are asking about renewing their contract, which requires analysis of their situation and potential legal implications.",,Reasoning-LLM
Pinapirma ako ng amo ko sa isang blankong papel bago ako mag-bakasyon. Is this dangerous?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and a potential legal risk, as the OFW is being asked to sign a blank paper, which may lead to disputes or contracts that could be detrimental to their rights.",,Reasoning-LLM
How can I apply for an OEC online if the DMW website is down or not working?,General-LLM,General-LLM,"The query is asking for general information on how to apply for an OEC online, which is a common and straightforward question related to OFW procedures.",,General-LLM
I took a loan from a finance company and I can't pay it back. Can they deport me for this?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation with a loan and potential legal consequences, such as deportation, which requires analysis and reasoning to determine the appropriate course of action.",,General-LLM
Nawala yung HKID ko sa MTR yesterday. What are the first three steps I need to do?,General-LLM,Reasoning-LLM,"The query involves a personal situation of lost identification, which may lead to potential legal issues or disputes, requiring guidance on what actions to take.",,Reasoning-LLM
"My agency is asking for my passport as ""collateral"" for my plane ticket. Should I give it?",Reasoning-LLM,Reasoning-LLM,"This query involves a personal situation and a potential legal risk, as it raises concerns about the agency's request for a passport as collateral, which may be a disputed or contract-related issue.",,Reasoning-LLM
Ano ang mangyayari if I don't leave Hong Kong within 14 days after my contract was terminated?,General-LLM,Reasoning-LLM,The query involves a scenario where the user is facing a potential legal issue related to their contract termination and immigration status in Hong Kong.,,General-LLM
"I found a job offer on Facebook for a ""Waitress"" position in HK but I have a Domestic Helper visa. Is this a scam?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation with a potential legal risk, as the individual is considering a job offer that may conflict with their existing visa status.",,Reasoning-LLM
Magkano ang fee for Passport Renewal sa Philippine Consulate this 2026?,General-LLM,General-LLM,"The query is asking for general legal information about the fee for passport renewal at the Philippine Consulate, which is a straightforward and factual question.",,General-LLM
"If I change my employer, do I need to go back to the Philippines first or can I process it here?",General-LLM,Reasoning-LLM,"The query involves a scenario of changing employers, which is a situation that requires consideration of legal procedures and potential risks or disputes related to labor law.",,General-LLM
"My friend borrowed money using my name as a guarantor (guarantor ako). Ngayon tumakas siya, kailangan ko ba bayaran yun?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation with a potential legal risk, as the person is asking about their obligation to pay a debt for which they were a guarantor.",,Reasoning-LLM
Can I use a photocopy of my contract to apply for a loan in World-Wide House?,General-LLM,Reasoning-LLM,"The query involves a personal situation and asks what action to take, specifically whether a photocopy of a contract can be used for a loan application, which may relate to labor law and contracts.",,Reasoning-LLM
I accidentally washed my passport in the laundry and the pages are damaged. Can I still use it to fly home?,Reasoning-LLM,General-LLM,"The query is about general information regarding the usability of a damaged passport, which is a common legal issue that can be answered without requiring a specific personal situation or complex reasoning.",,General-LLM
Ano ang kailangan kong documents para mapatunayan na single parent ako for SSS/PhilHealth?,General-LLM,General-LLM,"The query asks for general legal information regarding the necessary documents to prove single parenthood for SSS/PhilHealth purposes, without involving a personal situation or scenario.",,General-LLM
My employer refused to give my release letter (Green Paper). How can I get a new job without it?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and a potential labor dispute, as the user is seeking advice on how to obtain a new job without a necessary document being provided by their employer.",,Reasoning-LLM
Is it legal for a lending company to call my employer to demand payment for my personal loan?,General-LLM,Reasoning-LLM,"The query involves a personal situation and a potential legal dispute between the lender and the borrower, requiring analysis of the legal implications of the lender's actions.",,Reasoning-LLM
"I want to renew my contract ""locally."" Does that mean I don't need to exit to Macau or Shenzhen anymore?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks about the implications of a specific action, which requires reasoning and analysis of labor law and contract renewal procedures.",,Reasoning-LLM
How long is the processing time for an E-visa at the HK Immigration Department?,General-LLM,General-LLM,"The query is asking for general information about the processing time for an E-visa, which is a straightforward question that does not involve a personal situation or legal risk.",,General-LLM
My employer's signature on my salary receipt looks different from the contract. Should I be worried?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and a potential legal concern about a contract, which requires analysis and reasoning to determine the appropriate course of action.",,Reasoning-LLM
What is the hotline for the Migrant Workers Office (MWO) in Hong Kong?,General-LLM,General-LLM,"The query is asking for general information about a specific hotline related to OFW services, which falls under general legal information.",,General-LLM
Tinatakot ako ng agency ko na iba-blacklist daw ako sa POEA if I break my contract. Magagawa ba nila yun?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation with a labor contract dispute and potential legal risk, requiring analysis of the agency's actions and their implications under labor law.",,Reasoning-LLM
Can I renew my OWWA membership even if I am still in Hong Kong?,General-LLM,General-LLM,"This query asks for general information about OWWA membership renewal, which is a straightforward question related to labor law and does not involve a personal situation or scenario.",,General-LLM
What happens if my visa expires on a Sunday or a Public Holiday?,Reasoning-LLM,General-LLM,"This query seeks general information about visa expiration on non-working days, without referencing a personal situation or specific labor law issue.",,General-LLM
I forgot my Pag-IBIG MID number. How can I retrieve it while I am here in HK?,General-LLM,General-LLM,"The query is asking for general information on retrieving a Pag-IBIG MID number, which is a straightforward and definition-based question without a personal situation or legal risk.",,General-LLM
Pinipilit ako ng amo ko na mag-loan para sa business niya. Anong sasabihin ko sa kanya?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal work situation and asks for advice on how to respond to the employer's request, indicating a need for reasoning and action.",,Reasoning-LLM
"Sabi ng agency ko, I have to pay 10% of my first six months' salary. Is that the law in 2026?",General-LLM,Reasoning-LLM,"The query involves a personal situation and asks about the legality of a specific contract term, which requires analysis of labor law and potential legal risks.",,Reasoning-LLM
Pinipilit ako ng asawa ko sa Pinas na umuwi na dahil may sakit siya. Can I break my contract immediately?,Reasoning-LLM,Reasoning-LLM,"This query involves a personal situation and asks what action to take regarding a contract, which indicates a legal risk or dispute.",,Reasoning-LLM
How do I check my SSS contributions online while I am here in Hong Kong?,General-LLM,General-LLM,"The query is about general legal information on how to check SSS contributions online, which is a simple Q&A related to labor law applicable to OFWs.",,General-LLM
My agency took my original contract and only gave me a photocopy. Is this allowed?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks about the legitimacy of an action taken by the agency, indicating a potential labor law issue.",,Reasoning-LLM
Ano ang gagawin ko if my employer is filming me while I am sleeping in my room?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks for action to take regarding a potential legal issue with the employer, which requires reasoning and analysis of labor law.",,Reasoning-LLM
Can I apply for a Pag-IBIG housing loan even if I am still working in HK?,General-LLM,General-LLM,"The query is asking for general legal information about eligibility for a Pag-IBIG housing loan, which is a straightforward question that does not involve a personal situation or legal dispute.",,General-LLM
Nag-expire na ang OWWA membership ko. Do I need to renew it before I fly home for vacation?,General-LLM,Reasoning-LLM,"The query involves a personal situation and asks what action to take regarding OWWA membership renewal, which poses a potential legal or administrative implication for the OFW.",,General-LLM
"My employer told me to work in their relative's house for ""just two days."" Should I say yes?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal work situation and a potential risk, as it asks what action to take in response to an employer's request that may impact the OFW's work arrangement.",,Reasoning-LLM
Magkano ang monthly contribution for PhilHealth for OFWs starting this 2026?,General-LLM,General-LLM,"The query asks for general information about PhilHealth monthly contributions for OFWs, which is a straightforward and factual question.",,General-LLM
I found out my husband is using my remittance for gambling. How can I stop the bank transfer?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks for a specific action to take, indicating a need for reasoning and advice on a legal or financial matter related to OFW remittances.",,Reasoning-LLM
What is the contact number of the Philippine Overseas Labor Office (POLO) in HK?,General-LLM,General-LLM,"The query is asking for general information about the contact number of the Philippine Overseas Labor Office (POLO) in HK, which is a simple Q&A related to labor law.",,General-LLM
My employer is moving to the UK and wants me to go with them. Is my HK contract still valid there?,Reasoning-LLM,Reasoning-LLM,The query involves a personal work situation with a potential contractual dispute and requires analysis of labor laws across different jurisdictions.,,Reasoning-LLM
Can I get a refund from my agency if they failed to find me a job within 3 months?,General-LLM,Reasoning-LLM,"The query involves a personal situation and asks about a potential course of action, specifically regarding a refund from a recruitment agency, which indicates a legal risk or dispute.",,Reasoning-LLM
"Sabi ng amo ko, bawal daw ako gumamit ng phone during my rest day. Is that legal?",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks about the legality of a specific action, which requires analysis of labor laws and regulations applicable to the OFW's scenario.",,Reasoning-LLM
How many days of paid sick leave can I get if I have been working for 6 months?,General-LLM,General-LLM,The query is asking for general legal information regarding paid sick leave eligibility.,,General-LLM
I lost my OEC receipt. Can I still get a Balik-Manggagawa clearance at the airport?,Reasoning-LLM,General-LLM,"This query is asking for general information about the requirements for Balik-Manggagawa clearance in the context of a lost OEC receipt, without involving a personal situation or legal dispute.",,General-LLM
Ano ang address ng SSS branch sa Fortune Centre sa Causeway Bay?,General-LLM,General-LLM,"The query asks for general information about the location of an SSS branch, which is a simple and straightforward question.",,General-LLM
My employer's dog bit me while I was cleaning. Who should pay for my anti-rabies shots?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks about the appropriate course of action regarding payment for medical treatment, which is a labor law and legal risk issue.",,Reasoning-LLM
Can I use my PhilHealth to cover my child's hospitalization in the Philippines?,General-LLM,General-LLM,"This query is asking for general legal information about the usage of PhilHealth benefits, which is a basic and straightforward question without involving a personal situation or scenario.",,General-LLM
Tinatago ng amo ko yung boarding pass ko pag-uwi ko. Is that a problem for my return trip?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and potentially a labor dispute, as the OFW's employer is allegedly withholding their boarding pass, which poses a legal risk for their return trip.",,General-LLM
What are the requirements for an OFW to get a Multi-Purpose Loan from Pag-IBIG?,General-LLM,General-LLM,"The query asks for general information about the requirements for an OFW to get a Multi-Purpose Loan from Pag-IBIG, which is a straightforward and definition-based question.",,General-LLM
"My agency is charging me $2,000 for ""training fees"" even though I am an experienced worker.",Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation with a potential legal dispute regarding contract terms and fees, requiring analysis and advice on how to proceed.",,Reasoning-LLM
Does the Hong Kong Labor Department have a 24-hour hotline for domestic workers?,General-LLM,General-LLM,"This query asks for general information about a labor department's hotline, which falls under general legal information and does not describe a personal situation.",,General-LLM
I'm being bullied by the other helper in the house. Should I report this to my employer or the agency?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks for advice on what action to take regarding a labor dispute, which requires reasoning and analysis of the situation.",,Reasoning-LLM
How can I update my marital status in my SSS records while abroad?,General-LLM,General-LLM,"The query is asking for general information on updating marital status in SSS records, which is a straightforward process and does not involve a personal situation or legal dispute.",,General-LLM
Pwede ko ba dalhin ang anak ko sa Hong Kong for a 1-week vacation while I am working?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and asks about a specific action to take, which requires consideration of labor laws and regulations applicable to OFWs.",,General-LLM
What is the penalty if I overstay my visa by just one day in HK?,General-LLM,Reasoning-LLM,"The query involves a scenario of overstaying a visa, which is a situation that may lead to legal consequences, and asks about the specific penalty.",,Reasoning-LLM
My employer is asking me to sign a document saying I received my salary even if I didn't.,Reasoning-LLM,Reasoning-LLM,The query involves a personal situation with a potential legal dispute and asks for guidance on what action to take regarding a contractual document.,,Reasoning-LLM
Is it mandatory to have a POLO-verified contract for every vacation to the Philippines?,General-LLM,General-LLM,"The query asks for general information about the requirements for OFW contracts, without presenting a personal situation or scenario.",,General-LLM
I want to complain about my agency's illegal collection. Saan ako dapat pumunta sa HK?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation of potential legal dispute with an agency, indicating a need for reasoning and action guidance related to labor law.",,Reasoning-LLM
"Can I get my ""Severance Pay"" if I have worked for the same family for 3 years?",General-LLM,Reasoning-LLM,"The query involves a personal situation and asks about a specific legal entitlement, severance pay, after working for the same family for 3 years, which requires analysis of labor law.",,General-LLM
"My agency told me I can't transfer to a new employer because I'm ""terminated with cause.""",Reasoning-LLM,Reasoning-LLM,The query involves a scenario where the user is facing a potential labor dispute regarding their employment status and seeking guidance on their situation.,,Reasoning-LLM
What is the minimum age to work as a Domestic Helper in Hong Kong?,General-LLM,General-LLM,"The query is asking for general legal information regarding the minimum age requirement to work as a Domestic Helper in Hong Kong, without involving a personal situation or scenario.",,General-LLM
Can I apply for a DFA passport renewal appointment without a slot online?,Reasoning-LLM,General-LLM,The query is about general legal information regarding the process of DFA passport renewal appointment.,,General-LLM
How do I claim my Pag-IBIG savings (Provident Fund) after 20 years of working in HK?,General-LLM,General-LLM,"The query asks for general information on how to claim Pag-IBIG savings, which is a straightforward question related to OFW benefits.",,General-LLM
Pinapabayad ako ng amo ko for the electricity and water I use in my room. Is this right?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and a potential dispute with the employer regarding payment for utilities, which requires legal analysis and reasoning.",,Reasoning-LLM
"What is the ""Standard Employment Contract"" ID number and where can I find it?",General-LLM,General-LLM,"The query is asking for general information about the Standard Employment Contract, specifically the ID number and its location, without referencing a personal situation or scenario.",,General-LLM
Can my employer deduct my plane ticket cost from my last salary?,General-LLM,Reasoning-LLM,"The query involves a scenario where the user is inquiring about a specific situation related to their employment, which falls under labor law and requires analysis of potential legal risks.",,Reasoning-LLM
My employer wants me to sleep in the same room as their teenage son. Can I refuse?,Reasoning-LLM,Reasoning-LLM,"The query involves a personal situation and a potential legal dispute with the employer, requiring analysis of the worker's rights and appropriate actions to take.",,Reasoning-LLM
