Query,Expected,Groq Expected,Predicted_Gemini,Predicted_Qwen
Gusto ng amo ko na cash na lang ibayad ang annual leave ko imbes na bakasyon. Legal ba ito?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Kailangan ko ba ng OEC (Overseas Employment Certificate) kung babalik ako sa HK mula sa bakasyon ngayong 2026?,General-LLM,General-LLM,General-LLM,General-LLM
"Ano ang gagawin ko kung pinirmahan ko sa contract ay $5,100 pero ang binibigay lang sa akin ay $4,990?",Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Kasama ba ang "Birthday of the Buddha" sa mga bayad na holiday para sa mga OFW?,General-LLM,General-LLM,General-LLM,General-LLM
"Sabi ng amo ko, bawal daw akong lumabas ng bahay sa day-off ko dahil sa kumakalat na balita tungkol sa bagong virus. Pwede ba yun?",Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Na-diagnose ako na may breast cancer. Pwede ba akong i-terminate ng amo ko habang nagpapagamot?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Sino ang dapat magbayad ng hospital bill ko kung na-confine ako sa public hospital sa Hong Kong?,General-LLM,General-LLM,General-LLM,General-LLM
Pinatutulog ako ng amo ko sa sofa sa living room dahil wala silang extra room. Legal ba ito sa contract?,General-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Binigyan ako ng amo ko ng "Notice of Termination" pero gusto nilang umalis ako immediately nang walang bayad. Ano ang dapat kong makuha?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Pwede ko bang i-terminate ang contract ko kung hindi ako pinapakain nang tama o palaging panis ang binibigay na pagkain?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Ano ang "14-day rule" ng Immigration pagkatapos ma-cut ang contract ko?,General-LLM,General-LLM,General-LLM,Reasoning-LLM
Nag-resign ako dahil sa "physical abuse." Kailangan ko pa ba mag-serve ng one month notice?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Pwede ba akong pilitin ng amo ko na maglinis ng bahay ng anak niya sa ibang building?,General-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Ano ang gagawin ko kung ayaw ibigay ng amo ko ang passport ko dahil baka daw ako tumakas?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Ilang oras ang dapat na pahinga ko sa isang araw ayon sa standard employment contract?,General-LLM,General-LLM,General-LLM,General-LLM
Buntis ako at malapit na ang due date. May maternity leave ba ang mga OFW sa Hong Kong?,General-LLM,Reasoning-LLM,General-LLM,General-LLM
Na-aksidente ako habang naglilinis ng bintana. Sagot ba ng insurance ng amo ang pagpapagamot ko?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Paano ko makukuha ang aking "Long Service Payment" kung naka-6 years na ako sa amo ko?,General-LLM,Reasoning-LLM,General-LLM,Reasoning-LLM
"Sabi ng agency ko, kailangan ko daw magbayad ng ""placement fee"" kahit direct hire ako. Tama ba ito?",Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Ano ang gagawin kung namatay ang amo ko? Mapuputol ba agad ang contract ko?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Pwede ba akong mag-part time sa weekend sa isang restaurant habang naka-visa bilang domestic helper?,General-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Kinukuhanan ako ng video ng amo ko sa loob ng kwarto ko gamit ang CCTV. Violation ba ito ng privacy?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Ano ang "Certificate of Employment" at bakit kailangan ko ito pag-alis sa amo?,General-LLM,General-LLM,General-LLM,General-LLM
Pinagbabayad ako ng amo ko para sa repair ng sirang aircon na ginagamit ko sa kwarto. Pwede ba yun?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
"My passport is expiring in 5 months, can I still renew my contract with my current employer?",General-LLM,Reasoning-LLM,General-LLM,Reasoning-LLM
Pinapirma ako ng amo ko sa isang blankong papel bago ako mag-bakasyon. Is this dangerous?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
How can I apply for an OEC online if the DMW website is down or not working?,General-LLM,General-LLM,General-LLM,General-LLM
I took a loan from a finance company and I can't pay it back. Can they deport me for this?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,General-LLM
Nawala yung HKID ko sa MTR yesterday. What are the first three steps I need to do?,General-LLM,Reasoning-LLM,General-LLM,Reasoning-LLM
My agency is asking for my passport as "collateral" for my plane ticket. Should I give it?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Ano ang mangyayari if I don't leave Hong Kong within 14 days after my contract was terminated?,General-LLM,Reasoning-LLM,Reasoning-LLM,General-LLM
I found a job offer on Facebook for a "Waitress" position in HK but I have a Domestic Helper visa. Is this a scam?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Magkano ang fee for Passport Renewal sa Philippine Consulate this 2026?,General-LLM,General-LLM,General-LLM,General-LLM
"If I change my employer, do I need to go back to the Philippines first or can I process it here?",General-LLM,Reasoning-LLM,Reasoning-LLM,General-LLM
"My friend borrowed money using my name as a guarantor (guarantor ako). Ngayon tumakas siya, kailangan ko ba bayaran yun?",Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Can I use a photocopy of my contract to apply for a loan in World-Wide House?,General-LLM,Reasoning-LLM,General-LLM,Reasoning-LLM
I accidentally washed my passport in the laundry and the pages are damaged. Can I still use it to fly home?,Reasoning-LLM,General-LLM,Reasoning-LLM,General-LLM
Ano ang kailangan kong documents para mapatunayan na single parent ako for SSS/PhilHealth?,General-LLM,General-LLM,General-LLM,General-LLM
My employer refused to give my release letter (Green Paper). How can I get a new job without it?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Is it legal for a lending company to call my employer to demand payment for my personal loan?,General-LLM,Reasoning-LLM,General-LLM,Reasoning-LLM
I want to renew my contract "locally." Does that mean I don't need to exit to Macau or Shenzhen anymore?,Reasoning-LLM,Reasoning-LLM,General-LLM,Reasoning-LLM
How long is the processing time for an E-visa at the HK Immigration Department?,General-LLM,General-LLM,General-LLM,General-LLM
My employer's signature on my salary receipt looks different from the contract. Should I be worried?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What is the hotline for the Migrant Workers Office (MWO) in Hong Kong?,General-LLM,General-LLM,General-LLM,General-LLM
Tinatakot ako ng agency ko na iba-blacklist daw ako sa POEA if I break my contract. Magagawa ba nila yun?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Can I renew my OWWA membership even if I am still in Hong Kong?,General-LLM,General-LLM,General-LLM,General-LLM
What happens if my visa expires on a Sunday or a Public Holiday?,Reasoning-LLM,General-LLM,General-LLM,General-LLM
I forgot my Pag-IBIG MID number. How can I retrieve it while I am here in HK?,General-LLM,General-LLM,General-LLM,General-LLM
Pinipilit ako ng amo ko na mag-loan para sa business niya. Anong sasabihin ko sa kanya?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
"Sabi ng agency ko, I have to pay 10% of my first six months' salary. Is that the law in 2026?",General-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Pinipilit ako ng asawa ko sa Pinas na umuwi na dahil may sakit siya. Can I break my contract immediately?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
How do I check my SSS contributions online while I am here in Hong Kong?,General-LLM,General-LLM,General-LLM,General-LLM
My agency took my original contract and only gave me a photocopy. Is this allowed?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Ano ang gagawin ko if my employer is filming me while I am sleeping in my room?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Can I apply for a Pag-IBIG housing loan even if I am still working in HK?,General-LLM,General-LLM,General-LLM,General-LLM
Nag-expire na ang OWWA membership ko. Do I need to renew it before I fly home for vacation?,General-LLM,Reasoning-LLM,General-LLM,General-LLM
My employer told me to work in their relative's house for "just two days." Should I say yes?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Magkano ang monthly contribution for PhilHealth for OFWs starting this 2026?,General-LLM,General-LLM,General-LLM,General-LLM
I found out my husband is using my remittance for gambling. How can I stop the bank transfer?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What is the contact number of the Philippine Overseas Labor Office (POLO) in HK?,General-LLM,General-LLM,General-LLM,General-LLM
My employer is moving to the UK and wants me to go with them. Is my HK contract still valid there?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Can I get a refund from my agency if they failed to find me a job within 3 months?,General-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
"Sabi ng amo ko, bawal daw ako gumamit ng phone during my rest day. Is that legal?",Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
How many days of paid sick leave can I get if I have been working for 6 months?,General-LLM,General-LLM,General-LLM,General-LLM
I lost my OEC receipt. Can I still get a Balik-Manggagawa clearance at the airport?,Reasoning-LLM,General-LLM,General-LLM,General-LLM
Ano ang address ng SSS branch sa Fortune Centre sa Causeway Bay?,General-LLM,General-LLM,General-LLM,General-LLM
My employer's dog bit me while I was cleaning. Who should pay for my anti-rabies shots?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Can I use my PhilHealth to cover my child's hospitalization in the Philippines?,General-LLM,General-LLM,Casual-LLM,General-LLM
Tinatago ng amo ko yung boarding pass ko pag-uwi ko. Is that a problem for my return trip?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,General-LLM
What are the requirements for an OFW to get a Multi-Purpose Loan from Pag-IBIG?,General-LLM,General-LLM,General-LLM,General-LLM
"My agency is charging me $2,000 for ""training fees"" even though I am an experienced worker.",Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Does the Hong Kong Labor Department have a 24-hour hotline for domestic workers?,General-LLM,General-LLM,General-LLM,General-LLM
I'm being bullied by the other helper in the house. Should I report this to my employer or the agency?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
How can I update my marital status in my SSS records while abroad?,General-LLM,General-LLM,General-LLM,General-LLM
Pwede ko ba dalhin ang anak ko sa Hong Kong for a 1-week vacation while I am working?,Reasoning-LLM,Reasoning-LLM,General-LLM,General-LLM
What is the penalty if I overstay my visa by just one day in HK?,General-LLM,Reasoning-LLM,General-LLM,Reasoning-LLM
My employer is asking me to sign a document saying I received my salary even if I didn't.,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Is it mandatory to have a POLO-verified contract for every vacation to the Philippines?,General-LLM,General-LLM,General-LLM,General-LLM
I want to complain about my agency's illegal collection. Saan ako dapat pumunta sa HK?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Can I get my "Severance Pay" if I have worked for the same family for 3 years?,General-LLM,Reasoning-LLM,General-LLM,General-LLM
My agency told me I can't transfer to a new employer because I'm "terminated with cause.",Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What is the minimum age to work as a Domestic Helper in Hong Kong?,General-LLM,General-LLM,General-LLM,General-LLM
Can I apply for a DFA passport renewal appointment without a slot online?,Reasoning-LLM,General-LLM,General-LLM,General-LLM
How do I claim my Pag-IBIG savings (Provident Fund) after 20 years of working in HK?,General-LLM,General-LLM,General-LLM,General-LLM
Pinapabayad ako ng amo ko for the electricity and water I use in my room. Is this right?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What is the "Standard Employment Contract" ID number and where can I find it?,General-LLM,General-LLM,General-LLM,General-LLM
Can my employer deduct my plane ticket cost from my last salary?,General-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
My employer wants me to sleep in the same room as their teenage son. Can I refuse?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
How much is the terminal fee at NAIA for OFWs returning to their jobs?,General-LLM,General-LLM,General-LLM,General-LLM
I have a dispute with my employer regarding my "Rest Day" schedule. Who can mediate?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What documents do I need to bring to prove I am an OFW to avoid paying travel tax?,General-LLM,Reasoning-LLM,General-LLM,General-LLM
"Sabi ng amo ko, wala daw akong ""Long Service Payment"" kasi ""Resigned"" ako. Is that true?",Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Can I renew my HKID online or do I need to go to the Immigration office personally?,General-LLM,General-LLM,General-LLM,General-LLM
I accidentally broke a very expensive TV. Can the employer deduct the full price from my pay?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,General-LLM
My sister wants to borrow my HKID to apply for a loan. Is this a criminal offense?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
How many months of "Maternity Leave" am I entitled to under HK Law?,General-LLM,General-LLM,General-LLM,General-LLM
I want to skip my day-off to earn extra money. Is this allowed by HK Immigration?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
My employer just passed away in his sleep. What happens to my visa tomorrow?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,General-LLM
Saan pwedeng kumuha ng NBI Clearance renewal habang nasa Hong Kong?,General-LLM,General-LLM,General-LLM,General-LLM
Nag-positive ako sa COVID or a new virus. Can my employer force me to sleep in the park?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What is the emergency hotline of the Philippine Consulate in Admiralty?,General-LLM,General-LLM,General-LLM,General-LLM
My family in the Philippines was hit by a typhoon. Can I get an SSS calamity loan?,General-LLM,General-LLM,General-LLM,General-LLM
Nakagat ako ng aso ng kapitbahay habang nilalakad ko yung aso ng amo ko. Who is liable?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
How do I book an appointment for the Overseas Absentee Voting (OAV) for the next election?,General-LLM,General-LLM,General-LLM,General-LLM
Pinipilit ako ng amo ko na uminom ng gamot na hindi ko alam para daw hindi ako magkasakit.,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What is the "Assistance to Nationals" (ATN) section of the Consulate for?,General-LLM,General-LLM,General-LLM,General-LLM
Nasira yung phone ko and I lost my E-visa copy. How can I show it to Immigration?,Reasoning-LLM,Reasoning-LLM,General-LLM,General-LLM
Magkano ang fee for a Notarial Service or Red Ribbon sa Consulate ngayon?,General-LLM,General-LLM,General-LLM,General-LLM
My employer is verbally abusing me every day. Can I "break contract" for this reason?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Is it true that there is a 24-hour shelter for OFWs in Jordan or Wan Chai?,General-LLM,General-LLM,General-LLM,General-LLM
Na-scam ako sa Facebook investment. Can the Consulate help me get my money back?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
How can I report an illegal recruitment agency back in the Philippines?,General-LLM,General-LLM,General-LLM,Reasoning-LLM
My amo wants me to clean the windows of a 40th-floor flat. Is this a violation of my contract?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What are the requirements to change my name in my passport after getting married?,General-LLM,General-LLM,General-LLM,General-LLM
I am a victim of physical assault by my employer's child. Should I call 999 immediately?,Reasoning-LLM,Reasoning-LLM,Casual-LLM,Reasoning-LLM
Can the Consulate provide a lawyer for me if I have a case in the Labour Tribunal?,General-LLM,General-LLM,General-LLM,Reasoning-LLM
My passport was stolen at the North Point market. What is the "Report of Loss" process?,Reasoning-LLM,General-LLM,Reasoning-LLM,General-LLM
Is there a limit to how many balikbayan boxes I can send tax-free per year?,General-LLM,General-LLM,General-LLM,General-LLM
I'm feeling depressed and lonely. Are there any free counseling services for OFWs in HK?,Reasoning-LLM,General-LLM,General-LLM,General-LLM
How do I claim the insurance money for a deceased OFW relative in HK?,General-LLM,Reasoning-LLM,General-LLM,General-LLM
I accidentally overstayed my visa because I was in the hospital. Will I be jailed?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,General-LLM
Pinagbabayad ako ng "Terminal Fee" sa airport even though I have an OEC. What should I do?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Can I apply for a "Special Entry Permit" for my husband to visit me in Hong Kong?,General-LLM,Reasoning-LLM,General-LLM,General-LLM
My employer is monitoring my period/menstrual cycle. Is this an invasion of privacy?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
How can I verify if my agency is blacklisted by the DMW/POEA?,General-LLM,General-LLM,General-LLM,General-LLM
I want to donate to a charity in the Philippines. How can I make sure it's not a scam?,Reasoning-LLM,General-LLM,General-LLM,General-LLM
What is the "Labor Tribunal" and how is it different from the "Minor Employment Claims Board"?,General-LLM,General-LLM,General-LLM,Reasoning-LLM
My agency is holding my original birth certificate. Can I ask for it back?,Reasoning-LLM,Reasoning-LLM,General-LLM,Reasoning-LLM
How do I get a "Certificate of No Marriage" (CENOMAR) while living in HK?,General-LLM,General-LLM,General-LLM,General-LLM
My employer refuses to buy my ticket back to the Philippines after my contract ended.,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Is there a "POLO" office inside the Philippine Consulate building?,General-LLM,General-LLM,General-LLM,General-LLM
What are the operating hours of the Philippine Consulate on Sundays?,General-LLM,General-LLM,General-LLM,General-LLM
"I found out my employer is filming the bathroom. This is a crime, right?",Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Pinagsasabihan ako ng amo ko na wag makipag-usap sa ibang Pinoy sa labas. Is this legal?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
How can I send a formal "Grievance Letter" to the DMW?,General-LLM,Reasoning-LLM,General-LLM,General-LLM
My contract was terminated while I was on home leave in the Philippines. Can I still return?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What is the minimum rest period between two working days for a helper?,General-LLM,General-LLM,General-LLM,General-LLM
I want to report a suspicious "Money Lending" person in World-Wide House.,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
How much is the OWWA membership fee in Hong Kong Dollars for 2026?,General-LLM,General-LLM,General-LLM,General-LLM
My employer is forcing me to work on a day when there is a Signal No. 8 Typhoon.,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Can I get a copy of my employment contract from the Labor Department?,General-LLM,General-LLM,General-LLM,General-LLM
Is it legal for my employer to read my personal letters or emails?,General-LLM,Reasoning-LLM,General-LLM,Reasoning-LLM
My co-worker is stealing from our employer and blaming me. How do I defend myself?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
"Sabi ng friend ko, may ""468 rule"" na daw starting Jan 2026. Does this affect my contract as a stay-in helper?",Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
"Is Easter Monday (April 6, 2026) already considered a paid statutory holiday for us?",General-LLM,General-LLM,General-LLM,General-LLM
"My employer is only paying me $4,990 but I signed my contract in November 2025. Is this correct?",Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
How do I open a Maya or GCash account while I am physically here in Hong Kong?,General-LLM,General-LLM,General-LLM,Reasoning-LLM
Magkano ang food allowance ko starting September 2025 if my employer doesn't provide free food?,General-LLM,General-LLM,General-LLM,General-LLM
What is the "1% Remittance Tax" I'm hearing about? Does it apply to money sent from HK to PH?,Reasoning-LLM,General-LLM,General-LLM,General-LLM
My employer wants to pay me in cash every month. Is it better to have it through a bank transfer?,Reasoning-LLM,Reasoning-LLM,General-LLM,General-LLM
How can I verify my Overseas Employment Certificate (OEC) using the DMW Mobile App?,General-LLM,General-LLM,General-LLM,General-LLM
Nakatanggap ako ng message sa WhatsApp from "HK Immigration" asking for my bank details. Is this a scam?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What are the requirements for an SSS Salary Loan this 2026 for active members?,General-LLM,General-LLM,General-LLM,General-LLM
My employer is asking for my ATM card and PIN "for safekeeping." Should I give it?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,General-LLM
How much is the "Contract Renewal Fee" if I process it through an agency in 2026?,General-LLM,General-LLM,General-LLM,Reasoning-LLM
I want to start a small business in the Philippines. Are there any programs from OWWA for this?,General-LLM,General-LLM,General-LLM,General-LLM
"Sabi ng amo ko, deduction daw sa sahod ko yung fee for my mandatory insurance. Is this legal?",Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,General-LLM
Can I pay my PhilHealth and Pag-IBIG contributions in one go at World-Wide House?,General-LLM,General-LLM,General-LLM,General-LLM
My remittance was "frozen" because of a name mismatch. How can I fix this from HK?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,General-LLM
What is the maximum amount I can send to the Philippines in one day via TNG or AlipayHK?,General-LLM,General-LLM,General-LLM,General-LLM
I lost my phone with my digital E-visa. Can I print a new one from the Immigration website?,General-LLM,General-LLM,General-LLM,General-LLM
My employer told me to use my own money to buy groceries and they will just "reimburse" me. Is this safe?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
How do I claim the "Death Benefit" from SSS if the member is an OFW in HK?,General-LLM,Reasoning-LLM,General-LLM,Reasoning-LLM
Can I apply for a credit card in Hong Kong using my employment contract?,Reasoning-LLM,Reasoning-LLM,General-LLM,General-LLM
My friend wants to use my bank account to receive money from a stranger. Is this "Money Laundering"?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
Is it true that the "418 rule" is now "468 rule"? What does "aggregate hours" mean?,General-LLM,General-LLM,General-LLM,Reasoning-LLM
How can I check if my employer is actually paying for my medical insurance?,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM,Reasoning-LLM
What is the "E-Link" system for OFW workers at the Consulate?,General-LLM,General-LLM,General-LLM,General-LLM
